suburb,address,property_type,bedrooms,bathrooms,car_spaces,sale_price,ml_prediction,llm_estimate,manual_estimate_draft
Epping,205/16 Epping Park Dr,Apartment,2,2,1.0,750000,835449.53965036,990000,970000
Epping,401/18 Cliff Rd,Apartment,2,2,1.0,880000,835449.53965036,990000,970000
Epping,51 Chester St,House,4,3,2.0,3208000,2740251.4446330736,2730000,2760000
Epping,408/3 Ferntree Pl,Unit,1,1,1.0,600000,661535.4573546418,690000,720000
Parramatta,3637/180 George St,Apartment,1,1,0.0,623000,528769.485351262,520000,550000
Parramatta,41/3 Good St,Apartment,2,2,1.0,641000,668374.3746273919,620000,620000
Parramatta,412/31-37 Hassall St,Unit,1,1,1.0,432000,533789.842655893,590000,590000
Liverpool,15/52 Speed St,Unit,2,1,1.0,380000,435045.3213885078,440000,440000
Liverpool,24 Copeland St,Unit,2,1,1.0,380000,435045.3213885078,440000,440000
Liverpool,32/19 Speed St,Unit,2,1,1.0,385000,435045.3213885078,440000,440000
