suburb,sale_date,sale_price,address,bedrooms,bathrooms,car_spaces,property_type,area_m2,area_type,source_url
Epping,2026-07-24,793000,426/26 Ferntree Pl,2,2,2.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-23,1010000,11/7-9 Essex St,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-23,779000,405/16 Epping Park Dr,2,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-21,950000,307/22 Carlingford Rd,3,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-20,780000,207/1 Cliff Rd,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-20,800000,227/1 Cliff Rd,2,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-18,600000,408/3 Ferntree Pl,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-17,880000,2/28 Bridge St,2,1,2.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-17,1050000,5/7-9 Essex St,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-16,760000,43G/9 Epping Park Dr,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-22,750000,205/16 Epping Park Dr,2,2,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-14,975000,2/38-40 Bridge St,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-13,615000,101/28 Cliff Rd,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-11,1060000,417/1 Cliff Rd,3,2,2.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-11,750000,7/15 Forest Gr,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-10,2725000,10 William St,5,3,2.0,House,676.6,Land,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-10,880000,15 Forest Gr,2,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-09,603000,218/1 Cliff Rd,1,1,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-21,635000,2/65 Oxford St,2,1,1.0,Unit,105.0,Floor,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-07,722000,8/8 Essex St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-07,810000,305/1A Crandon Rd,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-06,1720000,121 Kent St,3,1,2.0,House,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-04,1790000,4/15 Chester St,2,2,2.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-04,2640000,23 Rosebank Ave,4,3,2.0,House,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-02,2968000,81 Chesterfield Rd,4,2,1.0,House,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-30,643000,505/2-4 Chester St,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-30,725000,306/16 Epping Park Dr,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-29,732000,3/42-50 Cliff Rd,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-07-06,880000,401/18 Cliff Rd,2,2,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-28,3500000,55 Cliff Rd,6,4,2.0,House,929.5,Land,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-28,4800000,2 Wyvern St,6,5,5.0,House,803.0,Land,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-27,1111000,23/13 Carlingford Rd,3,2,2.0,Unit,163.0,Floor,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-27,878000,17/42 Kent St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Epping,2026-06-27,3208000,51 Chester St,4,3,2.0,House,,,https://www.onthehouse.com.au/sold/nsw/epping-2121
Parramatta,2026-08-22,246900,339/180 George St,1,1,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-21,641000,41/3 Good St,2,2,1.0,Apartment,132.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-21,600000,219/88 Church St,1,1,1.0,Apartment,72.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-21,550000,401/8 River Rd W,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-21,800000,1502/88 Church St,2,2,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-13,640000,53/20 Victoria Rd,2,2,1.0,Apartment,122.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-12,780000,2/1-7 Bobart St,2,1,1.0,Townhouse,251.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-12,623000,3637/180 George St,1,1,0.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-12,530000,5/5 Thomas St,2,1,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-08,2080000,33 Rosehill St,3,1,0.0,House,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-07,635000,1001/1A Morton St,2,2,1.0,Apartment,127.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-07,560000,4/39 Great Western Hwy,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-07,1025000,1312/12 Phillip St,3,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-03,432000,412/31-37 Hassall St,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-31,805000,1/6 Sorrell St,3,2,2.0,Apartment,157.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-30,626000,16/18-20 Thomas St,2,1,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-30,580000,4/13 Henry St,2,1,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-11,657000,3/11 O'Reilly St,2,2,1.0,Unit,145.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
